MasterID,HUC,SampleDate,SampleMonth,SampleYear,CollectionMethodCode,FieldReplicate,CSCI,Latitude,Longitude
520PS0007,520,2008-07-08T00:00:00Z,7,2008,BMI_RWB_MCM,1,0.68200096676943,39.61993,-121.77531
520PS0007,520,2008-06-26T00:00:00Z,6,2008,BMI_RWB_MCM,1,0.609239702409473,39.61993,-121.77531
518SED080,518,2008-09-08T00:00:00Z,9,2008,BMI_RWB,1,1.27676068905044,39.64412,-121.14456
520PS0135,520,2009-07-29T00:00:00Z,7,2009,BMI_RWB,1,0.903182384642943,39.647,-121.64203
520PS0135,520,2009-07-29T00:00:00Z,7,2009,BMI_RWB,2,0.886075702099987,39.647,-121.64203
518MCGRRx,518,2002-10-10T00:00:00Z,10,2002,BMI_CSBP_Trans,1,0.975337405254937,39.6543,-121.39373
518GCGRRx,518,2002-10-10T00:00:00Z,10,2002,BMI_CSBP_Trans,1,1.03160488757036,39.65625,-121.39967
518CE0034,518,2004-06-01T00:00:00Z,6,2004,BMI_RWB,1,1.06948903824197,39.65861,-121.21277
518CE0034,518,2004-06-01T00:00:00Z,6,2004,BMI_TRC,1,0.879844051805783,39.65861,-121.21277
520DCDCRx,520,2002-10-10T00:00:00Z,10,2002,BMI_CSBP_Trans,1,1.0631722941601,39.6798,-121.74228
520HCTH99,520,2004-10-20T00:00:00Z,10,2004,BMI_RWB,1,0.927614968071423,39.6898,-121.77201
520BTCH99,520,2004-10-12T00:00:00Z,10,2004,BMI_RWB,1,0.87223936372611,39.69639,-121.77668
518SED079,518,2008-09-09T00:00:00Z,9,2008,BMI_RWB,1,1.00455519368731,39.69851,-121.20457
520PS0071,520,2008-07-31T00:00:00Z,7,2008,BMI_RWB_MCM,1,0.771187056662686,39.70008,-121.84953
520PS0455,520,2013-06-05T00:00:00Z,6,2013,BMI_RWB,1,0.849221973596076,39.70275,-121.77437
520PS0455,520,2013-06-05T00:00:00Z,6,2013,BMI_RWB,2,0.754545109624487,39.70275,-121.77437
520PS0455,520,2013-07-22T00:00:00Z,7,2013,BMI_RWB,1,0.946909687982698,39.70275,-121.77437
518PS0017,518,2008-08-19T00:00:00Z,8,2008,BMI_RWB,1,1.06111495621771,39.70612,-121.20361
520CMCFSL,520,2004-10-22T00:00:00Z,10,2004,BMI_RWB,1,0.933646169533272,39.70729,-121.78534
520CMCFSL,520,2004-10-22T00:00:00Z,10,2004,BMI_RWB,2,0.939036170735578,39.70729,-121.78534
520PS0199,520,2010-08-23T00:00:00Z,8,2010,BMI_RWB,1,0.926646553586825,39.71005,-121.73127
